Orthogroup	MFC_Ms42_genes	MHP_4284_genes
OG0000510	MYF_RS00260	ABLE99_RS00295
OG0000511	MYF_RS00395	ABLE99_RS00430
OG0000512	MYF_RS01055	ABLE99_RS02450
OG0000513	MYF_RS02890	ABLE99_RS03290
OG0000514	MYF_RS00710	ABLE99_RS02755
OG0000516	MYF_RS01440	ABLE99_RS01925
OG0000517	MYF_RS00065	ABLE99_RS00065
OG0000518	MYF_RS02630	ABLE99_RS02995
OG0000519	MYF_RS02080	ABLE99_RS00890
OG0000520	MYF_RS02205	ABLE99_RS00765
OG0000521	MYF_RS00230	ABLE99_RS00265
OG0000522	MYF_RS00265	ABLE99_RS00300
OG0000523	MYF_RS02830	ABLE99_RS03225
OG0000524	MYF_RS00890	ABLE99_RS02565
OG0000528	MYF_RS01435	ABLE99_RS01930
OG0000529	MYF_RS01565	ABLE99_RS02075
OG0000530	MYF_RS01630	ABLE99_RS02250
OG0000531	MYF_RS01750	ABLE99_RS01365
OG0000532	MYF_RS00620	ABLE99_RS01580
OG0000534	MYF_RS00345	ABLE99_RS00380
OG0000535	MYF_RS00045	ABLE99_RS00045
OG0000536	MYF_RS03070	ABLE99_RS03405
OG0000537	MYF_RS02025	ABLE99_RS00950
OG0000538	MYF_RS02395	ABLE99_RS01095
OG0000539	MYF_RS00175	ABLE99_RS00215
OG0000540	MYF_RS00910	ABLE99_RS02535
OG0000542	MYF_RS00315	ABLE99_RS00350
OG0000547	MYF_RS00660	ABLE99_RS02810
OG0000548	MYF_RS01205	ABLE99_RS01545
