Orthogroup	MFC_ATCC27716_genes	MFC_MF22_genes
OG0000465	MFC_RS03105	DR094_RS00145
OG0000466	MFC_RS02620	DR094_RS00735
OG0000467	MFC_RS03500	DR094_RS03535
OG0000468	MFC_RS01370	DR094_RS02915
OG0000469	MFC_RS00045	DR094_RS02710
OG0000470	MFC_RS01950	DR094_RS01425
OG0000471	MFC_RS02035	DR094_RS01505
OG0000472	MFC_RS01680	DR094_RS01405
OG0000473	MFC_RS02715	DR094_RS01240
OG0000474	MFC_RS02710	DR094_RS01235
OG0000475	MFC_RS02705	DR094_RS01230
OG0000476	MFC_RS00345	DR094_RS01195
OG0000477	MFC_RS03055	DR094_RS00190
OG0000478	MFC_RS02770	DR094_RS01295
OG0000479	MFC_RS00545	DR094_RS02180
OG0000480	MFC_RS03300	DR094_RS03065
OG0000481	MFC_RS01925	DR094_RS02315
OG0000482	MFC_RS01790	DR094_RS02455
OG0000483	MFC_RS00095	DR094_RS02670
OG0000484	MFC_RS02420	DR094_RS03575
OG0000487	MFC_RS00025	DR094_RS03795
OG0000488	MFC_RS00065	DR094_RS02640
OG0000489	MFC_RS00185	DR094_RS01040
OG0000490	MFC_RS00245	DR094_RS01100
OG0000491	MFC_RS00565	DR094_RS02200
OG0000492	MFC_RS00640	DR094_RS02275
OG0000493	MFC_RS00855	DR094_RS00565
OG0000494	MFC_RS00905	DR094_RS00515
OG0000495	MFC_RS01055	DR094_RS00375
OG0000496	MFC_RS01065	DR094_RS00365
OG0000497	MFC_RS01070	DR094_RS00360
OG0000498	MFC_RS01140	DR094_RS00290
OG0000499	MFC_RS01185	DR094_RS00250
OG0000500	MFC_RS01335	DR094_RS02630
OG0000501	MFC_RS01460	DR094_RS01850
OG0000502	MFC_RS01800	DR094_RS02445
OG0000503	MFC_RS01870	DR094_RS02370
OG0000504	MFC_RS02005	DR094_RS01480
OG0000505	MFC_RS02045	DR094_RS01515
OG0000506	MFC_RS02055	DR094_RS01525
OG0000507	MFC_RS02090	DR094_RS01560
OG0000508	MFC_RS02475	DR094_RS00880
OG0000509	MFC_RS02510	DR094_RS00845
OG0000510	MFC_RS02520	DR094_RS00835
OG0000511	MFC_RS02655	DR094_RS00700
OG0000512	MFC_RS02925	DR094_RS00125
OG0000513	MFC_RS02785	DR094_RS01310
OG0000516	MFC_RS00030	DR094_RS02725
OG0000517	MFC_RS00170	DR094_RS01025
OG0000518	MFC_RS01500	DR094_RS01890
OG0000519	MFC_RS01895	DR094_RS02345
OG0000520	MFC_RS02025	DR094_RS01495
OG0000521	MFC_RS02490	DR094_RS00865
OG0000522	MFC_RS02525	DR094_RS00830
OG0000523	MFC_RS02845	DR094_RS01375
OG0000524	MFC_RS03015	DR094_RS00230
OG0000525	MFC_RS01685	DR094_RS03660
OG0000528	MFC_RS00035	DR094_RS03790
OG0000529	MFC_RS00430	DR094_RS02065
OG0000530	MFC_RS00495	DR094_RS02130
OG0000531	MFC_RS00615	DR094_RS02250
OG0000533	MFC_RS02185	DR094_RS01660
OG0000534	MFC_RS02605	DR094_RS00750
OG0000535	MFC_RS00190	DR094_RS01045
OG0000536	MFC_RS00315	DR094_RS01170
OG0000537	MFC_RS01840	DR094_RS02405
OG0000538	MFC_RS02215	DR094_RS01690
OG0000539	MFC_RS02435	DR094_RS00915
OG0000541	MFC_RS01170	DR094_RS00265
OG0000542	MFC_RS02575	DR094_RS00780
OG0000547	MFC_RS00980	DR094_RS00450
OG0000548	MFC_RS01285	DR094_RS02580
OG0000549	MFC_RS01675	DR094_RS03665
OG0000550	MFC_RS02750	DR094_RS01275
OG0000551	MFC_RS02325	DR094_RS01805
OG0000555	MFC_RS03340	DR094_RS03120
OG0000589	MFC_RS03260	DR094_RS02835
OG0000596	MFC_RS02370	DR094_RS00980
OG0000598	MFC_RS02365	DR094_RS00985
OG0000599	MFC_RS02360	DR094_RS00990
OG0000602	MFC_RS00055	DR094_RS02635
OG0000627	MFC_RS00310	DR094_RS01165
OG0000634	MFC_RS00400	DR094_RS02035
OG0000635	MFC_RS01195	DR094_RS00240
OG0000636	MFC_RS03370	DR094_RS03365
OG0000637	MFC_RS01785	DR094_RS02460
OG0000638	MFC_RS02675	DR094_RS00685
OG0000639	MFC_RS03145	DR094_RS01720
OG0000640	MFC_RS03475	DR094_RS03145
OG0000643	MFC_RS03150	DR094_RS01725
