Orthogroup	MFC_ATCC27716_genes	MHP_ES2L_genes
OG0000517	MFC_RS00170	HZK19_RS00065
OG0000518	MFC_RS01500	HZK19_RS03145
OG0000519	MFC_RS01895	HZK19_RS00760
OG0000520	MFC_RS02025	HZK19_RS00885
OG0000521	MFC_RS02490	HZK19_RS00250
OG0000522	MFC_RS02525	HZK19_RS00285
OG0000523	MFC_RS02845	HZK19_RS03410
OG0000524	MFC_RS03015	HZK19_RS02640
OG0000525	MFC_RS01685	HZK19_RS03375
OG0000528	MFC_RS00035	HZK19_RS01980
OG0000529	MFC_RS00430	HZK19_RS02210
OG0000530	MFC_RS00495	HZK19_RS02315
OG0000531	MFC_RS00615	HZK19_RS01365
OG0000532	MFC_RS00940	HZK19_RS01590
OG0000533	MFC_RS02185	HZK19_RS00590
OG0000534	MFC_RS02605	HZK19_RS00365
OG0000535	MFC_RS00190	HZK19_RS00045
OG0000536	MFC_RS00315	HZK19_RS03590
OG0000537	MFC_RS01840	HZK19_RS00700
OG0000538	MFC_RS02215	HZK19_RS01100
OG0000539	MFC_RS02435	HZK19_RS00200
OG0000540	MFC_RS03035	HZK19_RS02605
OG0000541	MFC_RS01170	HZK19_RS02685
OG0000542	MFC_RS02575	HZK19_RS00335
OG0000547	MFC_RS00980	HZK19_RS02875
OG0000548	MFC_RS01285	HZK19_RS01560
OG0000549	MFC_RS01675	HZK19_RS03365
OG0000550	MFC_RS02750	HZK19_RS03510
OG0000551	MFC_RS02325	HZK19_RS02945
OG0000555	MFC_RS03340	HZK19_RS02880
OG0000589	MFC_RS03260	HZK19_RS02120
OG0000595	MFC_RS01440	HZK19_RS02965
OG0000597	MFC_RS01435	HZK19_RS02960
OG0000602	MFC_RS00055	HZK19_RS02005
