Orthogroup	MHP_J_genes	MHP_TB1_genes
OG0000413	MHJ_RS01490	B5M19_RS03555
OG0000414	MHJ_RS01500	B5M19_RS03545
OG0000415	MHJ_RS01505	B5M19_RS03540
OG0000416	MHJ_RS01515	B5M19_RS03530
OG0000417	MHJ_RS02235	B5M19_RS03225
OG0000418	MHJ_RS02230	B5M19_RS03230
OG0000419	MHJ_RS00690	B5M19_RS01835
OG0000420	MHJ_RS00725	B5M19_RS01800
OG0000421	MHJ_RS00755	B5M19_RS01765
OG0000422	MHJ_RS00765	B5M19_RS01755
OG0000423	MHJ_RS00820	B5M19_RS01700
OG0000424	MHJ_RS00825	B5M19_RS01695
OG0000425	MHJ_RS00835	B5M19_RS01685
OG0000426	MHJ_RS00840	B5M19_RS01680
OG0000427	MHJ_RS00865	B5M19_RS01655
OG0000428	MHJ_RS00890	B5M19_RS01630
OG0000430	MHJ_RS01030	B5M19_RS03170
OG0000431	MHJ_RS01040	B5M19_RS03180
OG0000432	MHJ_RS01070	B5M19_RS04345
OG0000433	MHJ_RS01085	B5M19_RS02200
OG0000434	MHJ_RS01090	B5M19_RS02195
OG0000435	MHJ_RS01105	B5M19_RS02180
OG0000436	MHJ_RS01135	B5M19_RS02150
OG0000437	MHJ_RS01145	B5M19_RS02140
OG0000438	MHJ_RS01150	B5M19_RS02135
OG0000439	MHJ_RS01155	B5M19_RS02130
OG0000440	MHJ_RS02935	B5M19_RS04165
OG0000441	MHJ_RS02975	B5M19_RS01265
OG0000442	MHJ_RS00120	B5M19_RS00055
OG0000443	MHJ_RS00165	B5M19_RS00105
OG0000444	MHJ_RS00180	B5M19_RS00120
OG0000445	MHJ_RS00205	B5M19_RS00145
OG0000446	MHJ_RS00235	B5M19_RS00175
OG0000447	MHJ_RS00240	B5M19_RS00180
OG0000448	MHJ_RS00270	B5M19_RS00210
OG0000449	MHJ_RS00295	B5M19_RS00235
OG0000450	MHJ_RS00305	B5M19_RS00245
OG0000451	MHJ_RS00345	B5M19_RS00295
OG0000452	MHJ_RS00370	B5M19_RS00330
OG0000453	MHJ_RS00405	B5M19_RS04040
OG0000454	MHJ_RS01590	B5M19_RS03255, B5M19_RS04505
OG0000455	MHJ_RS03480	B5M19_RS00395
OG0000456	MHJ_RS03365	B5M19_RS00515
OG0000457	MHJ_RS03340	B5M19_RS00540
OG0000458	MHJ_RS02470	B5M19_RS01055
OG0000460	MHJ_RS02505	B5M19_RS01020
OG0000461	MHJ_RS02550	B5M19_RS04125
OG0000462	MHJ_RS02545	B5M19_RS00980
OG0000463	MHJ_RS02540	B5M19_RS04130
OG0000464	MHJ_RS02535	B5M19_RS00990
OG0000465	MHJ_RS02530	B5M19_RS00995
OG0000467	MHJ_RS02640	B5M19_RS00895
OG0000468	MHJ_RS01920	B5M19_RS00790
OG0000469	MHJ_RS01980	B5M19_RS00850
OG0000470	MHJ_RS03785	B5M19_RS03910
OG0000471	MHJ_RS00895	B5M19_RS01625
OG0000472	MHJ_RS03300	B5M19_RS00580
OG0000473	MHJ_RS03465	B5M19_RS00410
OG0000474	MHJ_RS03470	B5M19_RS00405
OG0000475	MHJ_RS03475	B5M19_RS00400
OG0000476	MHJ_RS01525	B5M19_RS03280
OG0000477	MHJ_RS02580	B5M19_RS00950
OG0000478	MHJ_RS03410	B5M19_RS00465
OG0000479	MHJ_RS01300	B5M19_RS04145
OG0000480	MHJ_RS03770	B5M19_RS03895
OG0000481	MHJ_RS00790	B5M19_RS01730
OG0000482	MHJ_RS01185	B5M19_RS03730
OG0000483	MHJ_RS02025	B5M19_RS02735
OG0000484	MHJ_RS00175	B5M19_RS00115
OG0000485	MHJ_RS01140	B5M19_RS02145
OG0000486	MHJ_RS02255	B5M19_RS03205
OG0000487	MHJ_RS01960	B5M19_RS00830
OG0000488	MHJ_RS01995	B5M19_RS02770
OG0000489	MHJ_RS00050	B5M19_RS01885
OG0000490	MHJ_RS03570	B5M19_RS01945
OG0000491	MHJ_RS01320	B5M19_RS01225
OG0000492	MHJ_RS01395	B5M19_RS04140
OG0000493	MHJ_RS00565	B5M19_RS02430
OG0000494	MHJ_RS00625	B5M19_RS03075
OG0000495	MHJ_RS02805	B5M19_RS01430
OG0000497	MHJ_RS02790	B5M19_RS01445
OG0000498	MHJ_RS02700	B5M19_RS02495
OG0000499	MHJ_RS02665	B5M19_RS00870
OG0000500	MHJ_RS01880	B5M19_RS00750
OG0000501	MHJ_RS03040	B5M19_RS01470
OG0000502	MHJ_RS01175	B5M19_RS02350
OG0000503	MHJ_RS00735	B5M19_RS04250
OG0000504	MHJ_RS00870	B5M19_RS01650
OG0000505	MHJ_RS00905	B5M19_RS03420
