Orthogroup	MHP_UFV02_genes	MFC_ATCC27716_genes
OG0000443	FEF31_RS03460	MFC_RS02410
OG0000444	FEF31_RS03475	MFC_RS02425
OG0000445	FEF31_RS03500	MFC_RS02450
OG0000446	FEF31_RS03525	MFC_RS02480
OG0000447	FEF31_RS03530	MFC_RS02485
OG0000448	FEF31_RS03560	MFC_RS02515
OG0000449	FEF31_RS03585	MFC_RS02540
OG0000450	FEF31_RS03595	MFC_RS02550
OG0000451	FEF31_RS00030	MFC_RS02590
OG0000452	FEF31_RS00055	MFC_RS02615
OG0000453	FEF31_RS00090	MFC_RS02650
OG0000455	FEF31_RS03185	MFC_RS02700
OG0000456	FEF31_RS03065	MFC_RS02815
OG0000457	FEF31_RS03040	MFC_RS02840
OG0000458	FEF31_RS02255	MFC_RS02885
OG0000459	FEF31_RS02280	MFC_RS02910
OG0000460	FEF31_RS02290	MFC_RS02920
OG0000461	FEF31_RS02335	MFC_RS03080
OG0000462	FEF31_RS02330	MFC_RS03085
OG0000463	FEF31_RS02325	MFC_RS03090
OG0000464	FEF31_RS02320	MFC_RS03100
OG0000465	FEF31_RS02315	MFC_RS03105
OG0000466	FEF31_RS00060	MFC_RS02620
OG0000467	FEF31_RS04530	MFC_RS03500
OG0000468	FEF31_RS01710	MFC_RS01370
OG0000469	FEF31_RS01770	MFC_RS00045
OG0000470	FEF31_RS00495	MFC_RS01950
OG0000471	FEF31_RS00575	MFC_RS02035
OG0000472	FEF31_RS02995	MFC_RS01680
OG0000473	FEF31_RS03170	MFC_RS02715
OG0000474	FEF31_RS03175	MFC_RS02710
OG0000475	FEF31_RS03180	MFC_RS02705
OG0000476	FEF31_RS01215	MFC_RS00345
OG0000477	FEF31_RS02360	MFC_RS03055
OG0000478	FEF31_RS03115	MFC_RS02770
OG0000479	FEF31_RS00985	MFC_RS00545
OG0000480	FEF31_RS01775	MFC_RS03300
OG0000481	FEF31_RS00470	MFC_RS01925
OG0000482	FEF31_RS00865	MFC_RS01790
OG0000483	FEF31_RS01820	MFC_RS00095
OG0000484	FEF31_RS04675	MFC_RS02420
OG0000487	FEF31_RS04485	MFC_RS00025
OG0000488	FEF31_RS01790	MFC_RS00065
OG0000489	FEF31_RS03335	MFC_RS00185
OG0000490	FEF31_RS03275	MFC_RS00245
OG0000491	FEF31_RS01005	MFC_RS00565
