Orthogroup	MHP_F72C_genes	MHP_111A_genes
OG0000480	EHI52_RS03665	NB623_RS02065
OG0000481	EHI52_RS00815	NB623_RS00825
OG0000482	EHI52_RS01275	NB623_RS01330
OG0000483	EHI52_RS01865	NB623_RS02020
OG0000484	EHI52_RS00205	NB623_RS00190
OG0000485	EHI52_RS01240	NB623_RS01295
OG0000486	EHI52_RS02315	NB623_RS02450
OG0000488	EHI52_RS01895	NB623_RS02055
OG0000490	EHI52_RS03610	NB623_RS03800
OG0000493	EHI52_RS00595	NB623_RS00575
OG0000494	EHI52_RS00655	NB623_RS00635
OG0000495	EHI52_RS02825	NB623_RS03005
OG0000496	EHI52_RS02815	NB623_RS02990
OG0000497	EHI52_RS02810	NB623_RS02985
OG0000498	EHI52_RS02730	NB623_RS02900
OG0000499	EHI52_RS02695	NB623_RS02865
OG0000500	EHI52_RS02005	NB623_RS02165
OG0000501	EHI52_RS03080	NB623_RS03220
OG0000502	EHI52_RS01265	NB623_RS01320
OG0000503	EHI52_RS00760	NB623_RS00765
OG0000504	EHI52_RS00895	NB623_RS00905
OG0000505	EHI52_RS01000	NB623_RS01065
OG0000506	EHI52_RS01010	NB623_RS01075
OG0000507	EHI52_RS01045	NB623_RS01110
OG0000509	EHI52_RS00295	NB623_RS00275
OG0000510	EHI52_RS00305	NB623_RS00285
OG0000511	EHI52_RS00445	NB623_RS00420
OG0000512	EHI52_RS02550	NB623_RS02715
OG0000514	EHI52_RS02850	NB623_RS03025
OG0000516	EHI52_RS01925	NB623_RS02090
OG0000517	EHI52_RS00065	NB623_RS00065
OG0000519	EHI52_RS00785	NB623_RS00795
OG0000520	EHI52_RS00910	NB623_RS00920
OG0000522	EHI52_RS00310	NB623_RS00290
OG0000523	EHI52_RS03360	NB623_RS03540
OG0000524	EHI52_RS02665	NB623_RS02840
OG0000525	EHI52_RS03345	NB623_RS03505
OG0000526	EHI52_RS03800	NB623_RS02260
OG0000527	EHI52_RS02185	NB623_RS02315
OG0000528	EHI52_RS01920	NB623_RS02080
OG0000531	EHI52_RS01460	NB623_RS01520
OG0000532	EHI52_RS01685	NB623_RS01745
OG0000534	EHI52_RS00395	NB623_RS00370
