Orthogroup	MFC_MF33_genes	MFC_ATCC27716_genes
OG0000405	DR085_RS01530	MFC_RS01570
OG0000406	DR085_RS01560	MFC_RS01600
OG0000407	DR085_RS03725	MFC_RS01605
OG0000408	DR085_RS01570	MFC_RS01610
OG0000409	DR085_RS01575	MFC_RS01615
OG0000410	DR085_RS02955	MFC_RS01650
OG0000411	DR085_RS02945	MFC_RS01660
OG0000412	DR085_RS02940	MFC_RS01665
OG0000413	DR085_RS02185	MFC_RS01705
OG0000414	DR085_RS02175	MFC_RS01715
OG0000415	DR085_RS02170	MFC_RS01720
OG0000416	DR085_RS02160	MFC_RS01730
OG0000417	DR085_RS02130	MFC_RS01760
OG0000418	DR085_RS02125	MFC_RS01765
OG0000419	DR085_RS02065	MFC_RS01825
OG0000420	DR085_RS02030	MFC_RS01860
OG0000421	DR085_RS01995	MFC_RS01890
OG0000422	DR085_RS01985	MFC_RS01900
OG0000423	DR085_RS01005	MFC_RS01955
OG0000424	DR085_RS01010	MFC_RS01960
OG0000425	DR085_RS01020	MFC_RS01970
OG0000426	DR085_RS03680	MFC_RS01975
OG0000427	DR085_RS03685	MFC_RS02000
OG0000428	DR085_RS01075	MFC_RS02030
OG0000429	DR085_RS01170	MFC_RS02120
OG0000430	DR085_RS01215	MFC_RS02165
OG0000431	DR085_RS01225	MFC_RS02175
OG0000432	DR085_RS01245	MFC_RS02195
OG0000433	DR085_RS01255	MFC_RS02205
OG0000434	DR085_RS01260	MFC_RS02210
OG0000435	DR085_RS01275	MFC_RS02225
OG0000436	DR085_RS01315	MFC_RS03535
OG0000437	DR085_RS01325	MFC_RS02270
OG0000438	DR085_RS03700	MFC_RS02275
OG0000439	DR085_RS01335	MFC_RS02280
OG0000440	DR085_RS01350	MFC_RS02295
OG0000441	DR085_RS01390	MFC_RS02335
OG0000442	DR085_RS02355	MFC_RS02350
OG0000443	DR085_RS00025	MFC_RS02410
OG0000444	DR085_RS00040	MFC_RS02425
OG0000445	DR085_RS00065	MFC_RS02450
OG0000446	DR085_RS00090	MFC_RS02480
OG0000447	DR085_RS00095	MFC_RS02485
OG0000448	DR085_RS00125	MFC_RS02515
OG0000449	DR085_RS00150	MFC_RS02540
OG0000450	DR085_RS00160	MFC_RS02550
OG0000451	DR085_RS00200	MFC_RS02590
OG0000452	DR085_RS00225	MFC_RS02615
OG0000453	DR085_RS00260	MFC_RS02650
OG0000455	DR085_RS03810	MFC_RS02700
OG0000456	DR085_RS02595	MFC_RS02815
OG0000457	DR085_RS02620	MFC_RS02840
OG0000458	DR085_RS00905	MFC_RS02885
OG0000459	DR085_RS00880	MFC_RS02910
OG0000460	DR085_RS00870	MFC_RS02920
OG0000461	DR085_RS00825	MFC_RS03080
OG0000462	DR085_RS00830	MFC_RS03085
OG0000463	DR085_RS00835	MFC_RS03090
OG0000464	DR085_RS00840	MFC_RS03100
OG0000465	DR085_RS00845	MFC_RS03105
OG0000466	DR085_RS00230	MFC_RS02620
OG0000467	DR085_RS03670	MFC_RS03500
OG0000468	DR085_RS02775	MFC_RS01370
OG0000469	DR085_RS02995	MFC_RS00045
OG0000470	DR085_RS01000	MFC_RS01950
OG0000471	DR085_RS01080	MFC_RS02035
OG0000472	DR085_RS02645	MFC_RS01680
OG0000473	DR085_RS02495	MFC_RS02715
OG0000474	DR085_RS02490	MFC_RS02710
OG0000475	DR085_RS02485	MFC_RS02705
OG0000476	DR085_RS02450	MFC_RS00345
OG0000477	DR085_RS00800	MFC_RS03055
OG0000478	DR085_RS02545	MFC_RS02770
OG0000479	DR085_RS01790	MFC_RS00545
OG0000480	DR085_RS03170	MFC_RS03300
OG0000481	DR085_RS01960	MFC_RS01925
OG0000482	DR085_RS02100	MFC_RS01790
OG0000483	DR085_RS02855	MFC_RS00095
OG0000484	DR085_RS03630	MFC_RS02420
OG0000487	DR085_RS03905	MFC_RS00025
OG0000488	DR085_RS02825	MFC_RS00065
OG0000489	DR085_RS02315	MFC_RS00185
OG0000490	DR085_RS02255	MFC_RS00245
OG0000491	DR085_RS01770	MFC_RS00565
OG0000492	DR085_RS01695	MFC_RS00640
OG0000493	DR085_RS00400	MFC_RS00855
OG0000494	DR085_RS00455	MFC_RS00905
OG0000495	DR085_RS00610	MFC_RS01055
OG0000496	DR085_RS00620	MFC_RS01065
OG0000497	DR085_RS00625	MFC_RS01070
OG0000498	DR085_RS00695	MFC_RS01140
OG0000499	DR085_RS00740	MFC_RS01185
OG0000500	DR085_RS02655	MFC_RS01335
OG0000501	DR085_RS01425	MFC_RS01460
OG0000502	DR085_RS02090	MFC_RS01800
OG0000503	DR085_RS02015	MFC_RS01870
OG0000504	DR085_RS01055	MFC_RS02005
OG0000505	DR085_RS01090	MFC_RS02045
OG0000506	DR085_RS01100	MFC_RS02055
OG0000507	DR085_RS01135	MFC_RS02090
OG0000508	DR085_RS00085	MFC_RS02475
OG0000509	DR085_RS00120	MFC_RS02510
OG0000510	DR085_RS00130	MFC_RS02520
OG0000511	DR085_RS00265	MFC_RS02655
